Address,Business Name,Street,Rating,Latitude,Longitude,Flag
120 43rd st,120 43rd St,"120 43rd St, Pittsburgh, PA 15201, USA",,40.4721953,-79.9627883,broad_filled
120 44th st,120 44th St,"120 44th St, Pittsburgh, PA 15201, USA",,40.4731353,-79.9622285,broad_filled
120 45th st,120 45th St,"120 45th St, Pittsburgh, PA 15201, USA",,40.473877,-79.96184699999999,broad_filled
120 banner way,Frannies,butler st,,40.471594,-79.96325809999999,consolidated
120 locarna way,120 Locarna Way,"120 Locarna Way, Pittsburgh, PA 15201, USA",,40.4737591,-79.96207280000002,broad_filled
121 40th st,121 40th St,"121 40th St, Pittsburgh, PA 15201, USA",,40.470767,-79.964609,broad_filled
121 41st st,121 41st St,"121 41st St, Pittsburgh, PA 15201, USA",,40.4713205,-79.9636134,broad_filled
121 42nd st,121 42nd St,"121 42nd St, Pittsburgh, PA 15201, USA",,40.4718803,-79.9628714,broad_filled
121 43rd st,121 43rd St,"121 43rd St, Pittsburgh, PA 15201, USA",,40.4723073,-79.9624991,broad_filled
121 44th st,121 44th St,"121 44th St, Pittsburgh, PA 15201, USA",,40.4732431,-79.96192669999999,broad_filled
121 45th st,121 45th St,"121 45th St, Pittsburgh, PA 15201, USA",,40.4739548,-79.9615841,broad_filled
121 47th st,121 47th St,"121 47th St, Pittsburgh, PA 15201, USA",,40.4757764,-79.9603558,broad_filled
121 53rd st,121 53rd St,"121 53rd St, Pittsburgh, PA 15201, USA",,40.4812936,-79.9510952,broad_filled
121 banner way,121 Banner Way,"121 Banner Way, Pittsburgh, PA 15201, USA",,40.47148730000001,-79.9633892,broad_filled
121 locarna way,121 Locarna Way,"121 Locarna Way, Pittsburgh, PA 15201, USA",,40.4733387,-79.96181589999999,broad_filled
121 mccandless ave,121 McCandless Ave,"121 McCandless Ave, Pittsburgh, PA 15201, USA",,40.48078040000001,-79.9520539,broad_filled
122 41st st,122 41st St,"122 41st St, Pittsburgh, PA 15201, USA",,40.4711491,-79.9638643,broad_filled
122 42nd st,122 42nd St,"122 42nd St, Pittsburgh, PA 15201, USA",,40.4717286,-79.9629959,broad_filled
122 43rd st,122 43rd St,"122 43rd St, Pittsburgh, PA 15201, USA",,40.4721498,-79.96272809999999,broad_filled
122 45th st,122 45th St,"122 45th St, Pittsburgh, PA 15201, USA",,40.4738213,-79.9618806,broad_filled
122 locarna way,122 Locarna Way,"122 Locarna Way, Pittsburgh, PA 15201, USA",,40.4736915,-79.9620357,broad_filled
123 1/2 42nd st,123 42nd St,"123 42nd St, Pittsburgh, PA 15201, USA",,40.4718582,-79.9627883,broad_filled
123 36th st,Cranberry Plaza II LLC,penn ave,,40.4671374,-79.9669826,consolidated
123 36th st,"Wilson-McGinley, Inc.",34th st,4.1,40.4663916,-79.967383,consolidated
123 40th st,123 40th St,"123 40th St, Pittsburgh, PA 15201, USA",,40.4707259,-79.96459109999999,broad_filled
123 41st st,123 41st St,"123 41st St, Pittsburgh, PA 15201, USA",,40.4712642,-79.96356329999999,broad_filled
123 42nd st,123 42nd St,"123 42nd St, Pittsburgh, PA 15201, USA",,40.4718582,-79.9627883,broad_filled
123 43rd st,123 43rd St,"123 43rd St, Pittsburgh, PA 15201, USA",,40.47234419999999,-79.96244250000001,broad_filled
123 45th st,123 45th St,"123 45th St, Pittsburgh, PA 15201, USA",,40.4739322,-79.961511,broad_filled
123 53rd st,123 53rd St,"123 53rd St, Pittsburgh, PA 15201, USA",,40.4812663,-79.9510457,broad_filled
123 banner way,123 Banner Way,"123 Banner Way, Pittsburgh, PA 15201, USA",,40.4714638,-79.9633455,broad_filled
123 mccandless ave,123 McCandless Ave,"123 McCandless Ave, Pittsburgh, PA 15201, USA",,40.4807517,-79.9520194,broad_filled
124 41st st,124 41st St,"124 41st St, Pittsburgh, PA 15201, USA",,40.4711179,-79.9638197,broad_filled
124 42nd st,124 42nd St,"124 42nd St, Pittsburgh, PA 15201, USA",,40.4716585,-79.9630001,broad_filled
124 42nd st unit 1,124 42nd St #1,"124 42nd St #1, Pittsburgh, PA 15201, USA",,40.471672,-79.96298039999999,broad_filled
124 43rd st,124 43rd St,"124 43rd St, Pittsburgh, PA 15201, USA",,40.4721186,-79.9626135,broad_filled
