Street,Name,Address,Rating,Place ID,Latitude,Longitude
liberty ave,Da Vita Healthcare Inc,"4312 Penn Avenue, Pittsburgh",N/A,ChIJtQtxS0_yNIgRlkc6QzERHXY,40.4656242,-79.9539061
liberty ave,Samantha Skelton Jewelry Design,"4049 Penn Avenue, Pittsburgh",4.6,ChIJI4PSLEnyNIgRcsiHldY4wFA,40.4657023,-79.9561192
liberty ave,Hairsmith,"4043 Penn Avenue, Pittsburgh",4.9,ChIJq0pbLUnyNIgRDq57rHU_m3E,40.4656657,-79.95630109999999
liberty ave,Songbird Artistry,"4316 Penn Avenue, Pittsburgh",5,ChIJKVW5TU_yNIgRU0XyKFJON7k,40.46570380000001,-79.9536538
liberty ave,"Dr. Briana Sacco, MD","4221 Penn Avenue, Pittsburgh",N/A,ChIJea3kNU_yNIgRCEpRtMAYRj0,40.4658745,-79.9542546
liberty ave,Taste of India,"4320 Penn Avenue, Pittsburgh",4.3,ChIJz3fkUU_yNIgRz8ny6o9Dcos,40.46576940000001,-79.9535236
liberty ave,dradamtripp,"4111 Penn Avenue, Pittsburgh",N/A,ChIJAfYoMk_yNIgRvSdyxo2XJho,40.4658925,-79.9548051
liberty ave,Jeff's Notary Service,"4035 Penn Avenue, Pittsburgh",4.2,ChIJR4DKM0nyNIgR4KLOtOHq5sU,40.46552200000001,-79.9565618
liberty ave,"Dr. Valerie C. Greene, MD","4221 Penn Avenue, Pittsburgh",N/A,ChIJea3kNU_yNIgR582_68tcleE,40.4660384,-79.9540023
liberty ave,Los Cabos Mexican Restaurant,"4110 Penn Avenue, Pittsburgh",4.3,ChIJ4at4NE_yNIgRDPjJG9F_BQQ,40.465667,-79.95455
liberty ave,Pittsburg Pediatric Associates: Cowden Sharon N N MD,"4221 Penn Avenue # 402, Pittsburgh",N/A,ChIJea3kNU_yNIgRPmG1U6xoo0I,40.465874,-79.9542556
liberty ave,Beroes Law Center,"4054 Penn Avenue, Pittsburgh",4.4,ChIJRViYKUnyNIgRvdTOxIPZykY,40.46538899999999,-79.95580749999999
liberty ave,Citizens,"4314 Penn Avenue, Pittsburgh",3.4,ChIJWZaLA0fyNIgRQ9a85BZ0gGw,40.4656989,-79.95371279999999
liberty ave,Isle of You Hair Color Studio,"4047 Penn Avenue, Pittsburgh",4.7,ChIJ4b88t1fyNIgRAxq_boM1euM,40.46568389999999,-79.9561717
liberty ave,"Christopher N. Cecchini, O.D.","4202 Penn Avenue, Pittsburgh",5,ChIJbX3k-UXyNIgRWoetbY6e3Jc,40.4656042,-79.9542106
liberty ave,Penn Ave at Main St,United States,N/A,ChIJ3dVL00jyNIgRYrDNRln6srE,40.465604,-79.9552175
liberty ave,Kula Industries & Streekers Vintage,"4124 Main Street, Pittsburgh",5,ChIJEwRSfWXzNIgR7P5By1tuSYM,40.4649469,-79.9544568
liberty ave,Bodega Film Lab,"4120 Main Street, Pittsburgh",5,ChIJOxSdjZDzNIgRQYAWMS6xF7A,40.46504789999999,-79.9546044
liberty ave,Radio Skateshop,"4116 Main Street, Pittsburgh",4.8,ChIJOQDRuefzNIgRhUkR_Hu5E1g,40.4651109,-79.9547319
liberty ave,It's Kleen Time Car Wash,"4060 Woolslayer Way, Pittsburgh",4.5,ChIJ8VwofHDzNIgRcHWO53dg6Qw,40.4650492,-79.9554612
liberty ave,Twisters Ice Cream,"4210 Main Street, Pittsburgh",4.7,ChIJm7XwuEjyNIgRU2XykpK2_UI,40.4647322,-79.95413479999999
liberty ave,Tina's,"4114 Main Street, Pittsburgh",4.8,ChIJq9j3zkjyNIgRQxzY0M1X8lk,40.46518329999999,-79.9547722
liberty ave,Jacobs Joanne,"4117 Main Street, Pittsburgh",N/A,ChIJHQU4zEjyNIgRJkqID0Q3FrQ,40.46539250000001,-79.9546514
liberty ave,Lautner Debra,"4117 Main Street, Pittsburgh",N/A,ChIJHQU4zEjyNIgRIb4LcAKG79g,40.46539250000001,-79.9546514
liberty ave,Snelling Melissa,"4117 Main Street, Pittsburgh",N/A,ChIJHQU4zEjyNIgR-EqAXCtd9EA,40.46539250000001,-79.9546514
liberty ave,Freedom Gateway Bitcoin ATM,"4068 Penn Avenue, Pittsburgh",N/A,ChIJkUIP6vTzNIgRZMT5MR30rfI,40.4654152,-79.9553146
liberty ave,Wilson's Pharmacy,"4101 Penn Avenue A, Pittsburgh",4.3,ChIJX7iHLE_yNIgRdUvOLq0Zikg,40.465856,-79.955212
liberty ave,Sunoco Gas Station,"4068 Penn Avenue, Pittsburgh",2.7,ChIJbwnM00jyNIgRYCdtP14CQl8,40.46542960000001,-79.9553218
