OBJECTID *,FULL_ADDRE,zon_new,full_zonin,PIN,MAPBLOCKLO,hood,ZIP_CODE,POINT_X,POINT_Y
2856,3512 LEECH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00034000A00,49-N-34-A,Lower Lawrenceville,15201,-79.965076,40.4646
2857,921 MCCANDLESS AVE,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0081E00040000000,81-E-40,Upper Lawrenceville,15201,-79.948992,40.478602
2858,3441 DENNY ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00203000000,49-N-203,Lower Lawrenceville,15201,-79.96508,40.462657
2859,3447 DENNY ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00206000100,49-N-206-1,Lower Lawrenceville,15201,-79.964918,40.462776
2860,4222 CALVIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00247000000,49-L-247,Central Lawrenceville,15201,-79.95428,40.466414
2861,4108 GARDEN WAY,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049L00287000A00,49-L-287-A,Central Lawrenceville,15201,-79.954978,40.465978
2862,374 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00064000000,49-L-64,Central Lawrenceville,15201,-79.955821,40.465975
2863,418 42ND ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00119000000,49-L-119,Central Lawrenceville,15201,-79.956254,40.46715
2864,375 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00207000000,49-L-207,Central Lawrenceville,15201,-79.955483,40.466052
2865,4047 PENN AVE,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049L00273000000,49-L-273,Central Lawrenceville,15224,-79.956161,40.465642
2866,466 42ND ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00261000000,49-L-261,Central Lawrenceville,15201,-79.954979,40.466149
2867,4045 PENN AVE,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049L00271000000,49-L-271,Central Lawrenceville,15224,-79.956244,40.465699
2868,4059 PENN AVE,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049L00278000000,49-L-278,Central Lawrenceville,15224,-79.955746,40.465726
2869,3485 DENNY ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00223000A00,49-N-223-A,Lower Lawrenceville,15201,-79.964049,40.463503
2870,3520 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049N00020000000,49-N-20,Lower Lawrenceville,15201,-79.965666,40.464534
2871,3482 LIGONIER ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00223000001,49-N-223-0-1,Lower Lawrenceville,15201,-79.964174,40.4636
2872,3506 LEECH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00036000000,49-N-36,Lower Lawrenceville,15201,-79.965148,40.464496
2873,3715 PENN AVE,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00064000000,49-N-64,Lower Lawrenceville,15201,-79.962131,40.464706
2874,4207 CALVIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00221000000,49-L-221,Central Lawrenceville,15201,-79.954838,40.466555
2875,4109 PENN AVE,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049L00288000000,49-L-288,Central Lawrenceville,15224,-79.954885,40.465903
2876,3487 DENNY ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00224000000,49-N-224,Lower Lawrenceville,15201,-79.964009,40.463533
2877,3415 LIGONIER ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00174000000,49-N-174,Lower Lawrenceville,15201,-79.96602,40.462675
